# Dependencies for design1099
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sat Jan 15 09:09:04 NZDT 2022
# Tool	mete-analysis(dependencies):20170202T1945
# System	design1099
# Codebase	./../grad009-01/design1099/design1099

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
kalah.backend.GameManager	kalah.backend	Class	public	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.Game	kalah.backend	Interface	Implements	Header			To whole module	Public	None
kalah.backend.GameManager	kalah.backend	Class	public	java.lang.Object*	java.lang	Class	InvokeSuper	Method	kalah.backend.GameManager#public <init>() {}	1	java.lang.Object#public <init>() <>*	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	InvokeSpecial	Method	kalah.backend.GameManager#public <init>() {}	14	kalah.backend.GameManager#private void InitSeedsandHouses() {}	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Put	Method	kalah.backend.GameManager#public <init>() {}	7	kalah.backend.GameManager#private final int InitialAmountInHouses	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Put	Method	kalah.backend.GameManager#public <init>() {}	8	kalah.backend.GameManager#private final int InitialAmountInStores	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Put	Method	kalah.backend.GameManager#public <init>() {}	5	kalah.backend.GameManager#private final int InitialHouses	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Put	Method	kalah.backend.GameManager#public <init>() {}	6	kalah.backend.GameManager#private final int InitialStoresPerPlayer	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Put	Method	kalah.backend.GameManager#public <init>() {}	11	kalah.backend.GameManager#private boolean LastSeedSown	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Put	Method	kalah.backend.GameManager#public <init>() {}	9	kalah.backend.GameManager#private final int NumberOfPlayers	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Put	Method	kalah.backend.GameManager#public <init>() {}	10	kalah.backend.GameManager#private final int PlaceAmount	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Put	Method	kalah.backend.GameManager#public <init>() {}	2	kalah.backend.GameManager#private int PlayerStart	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Get	Method	kalah.backend.GameManager#public <init>() {}	3	kalah.backend.GameManager#private int PlayerStart	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Put	Method	kalah.backend.GameManager#public <init>() {}	4	kalah.backend.GameManager#private int PlayerTurn	Private	None
kalah.backend.GameManager	kalah.backend	Class	public	kalah.backend.GameManager	kalah.backend	Class	Put	Method	kalah.backend.GameManager#public <init>() {}	12	kalah.backend.GameManager#private final kalah.backend.Pit[] board	Private	None
